model,response
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,4
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,3
llama-v3p1-70b-instruct,4
chatgpt-4o-latest,5
gemini-1.5-flash,4
claude-3-sonnet-20240229,2
llama-v3p1-70b-instruct,4
